1,5,6,7,8
0,1,2,3,4,5,6,7,8,9,12,13,15,16,17,18,21,22,26,27,28,29,30,31,32,33,34
0,1,2,4,5,6,7,8,9,17,21,26,29,32,34
1,2,3,4,5,6,7,8,9,11,16,17,21,23,29,30,33
8
8
7
5
7
0,1,2,3,4,5,6,7,8,9,10,11,12,15,16,20,21,22,24,25,28,33
0,1,2,5,6,7,8,9,10,15,16,17,18,22,24,26,32,34
1,2,3,4,5,6,7,8,9,10,11,12,16,19,21,22,24,25,26,29,33,34
1,2,4,5,6,8,9,13,27,29,33
0,1,2,5,6,7,8,9,32
7
7
1,2,4,5,6,7,8,9,11,16,17,18,20,24,25,26,29,31,33
1,2,3,4,5,6,7,8,9,11,16,22,25,31,32,34
0,1,2,3,4,5,6,7,8,9,11,12,17,18,19,22,25,26,29,30,31,32,33
7
8
0,1,2,4,5,6,8,9,11,13,16,17,19,20,25,26,32,33
7
1,2,5,6,7,8,9,33
1,2,5,6,7,8,9,17,30,32,33
1,2,3,4,5,6,7,8,9,13,17,26,29,30,32,33
7
7
0,1,2,4,5,6,7,8,9,11,15,16
0,1,2,3,4,5,6,7,8,9,10,11,13,20,22,23,24,25,26,27,29,30,31,32,33
0,1,2,3,4,5,6,7,8,9,12,13,15,16,17,18,21,22,26,27,28,29,30,31,32,33,34
0,1,2,5,6,7,8,9,32
1,2,5,6,7,8,9,12,13,15,17,18,22,26,27,31,32,33
0,1,2,4,5,6,7,8,9,10,22,29,31
1,2,5,6,7,8,9
0,1,2,4,5,6,8,9,11,13,16,17,19,20,25,26,32,33
0,1,2,4,5,6,7,8,9,13,15,18,23,26,31,32,33
1,2,3,4,5,6,7,8,9,10,12,14,15,16,17,23,24,25,26,29,30,32,33
1,2,5,6,7,8,9
0,1,2,5,6,7,8,9,10,15,16,17,18,22,24,26,32,34
5
1,2,5,6,7,8,9,10,26,29,31,32,33,34
0,1,2,4,5,6,7,8,9,15,17,29,31
1,2,3,4,5,6,7,8,9,11,12,15,17,18,21,25,26,31,32,33
0,1,2,4,5,6,7,8,9,10,22,29,31
1,2,4,5,6,8,9,13,27,29,33
0,1,2,4,5,6,7,8,9,10,11,12,13,14,15,17,20,22,25,26,27,29,30,32,33,34
6
5
0,1,2,3,4,5,6,7,8,9,11,12,17,18,19,22,25,26,29,30,31,32,33
